,verse_text,label,result,sentiment_score,sentiment_initial
41,"in the shadow of the shores; as dead leaves wake,",0,"in the shadow of the shores; as dead leaves wake, drift away she looks to note.
And with them she sees her first lover fallen and broken both.
The word (somethin--it I never knew myself--QS.",1,1
42,the blessed memory of thy worth,1,"the blessed memory of thy worthiness is a mountain, haunting thine
steps.",1,1
43,a million torches lighted by thy hand,1,"a million torches lighted by thy hand…Increase the temperature of the ocean to 35 F and let rotten … Not anymore.
Just to have this book, I’ve gotten tired of mentioning the Inquisition in our novels.",0,1
44,thy sleep makes ridiculous.,0,thy sleep makes ridiculous.,0,0
45,whose potent unity and concentric force,1,whose potent unity and concentric force are as a rule still in doubt.,0,1
46,"mine eyes were of their madness half beguiled,",0,"mine eyes were of their madness half beguiled, partly
raving, arda-mother of autumn.",0,0
47,you sha' n't roll yo' eyes at me.,0,"you sha' n't roll yo' eyes at me. Meet on the hole & drive. I'm've got some friends, yo 'll make me stew 'em. I'm also a Père Noël.",1,0
48,"mine are calm and tranquil days,",1,"mine are calm and tranquil days, eastern Heath, Lanarkshire, Northwall, Clapham Heath and Keron.",1,1
49,"from flight, seditious angel, to receave",0,"from flight, seditious angel, to receave his spoils brighter than the sun,",1,1
50,"thy merited reward, the first assay",1,"thy merited reward, the first assay for Crowley was in 1998, when Hecht 10 min after the last injection of Malassezia mycoriae.",1,1
51,"uttering bare truth, even so as foes commend.",1,"uttering bare truth, even so as foes commend.",1,1
52,"afar the melancholy thunder moaned,",0,"afar the melancholy thunder moaned, I saw the white stripes of his arm and his starched legs floating about my tumbled seat.
She raised her broad frown, their chincelles pointing heavenward.",1,1
53,"their hate, and selfishness, and pride!",0,"their hate, and selfishness, and pride! Which I believe Brother Antonin did and done, for so I believed and believed. [22:32] Then I heard of an earthquake.",1,0
54,"and sorrowful to-day, thy children set",0,"and sorrowful to-day, thy children set their cares and mournings upon me. As He said to them, ‘Bless ye now; ye shall have the return from the wilderness.",0,0
55,save for a cry that echoes shrill,0,"save for a cry that echoes shrill from the marrow crevice. Her jaws were meticulously strung together, but somehow, the swelling contributed.
Elisa reached out to bring the carburetor up and pull a check.",0,0
56,"with its close-curling gold, and love revived.",1,"with its close-curling gold, and love revived. Bruegel accepted, John's try to repair the fallion.",1,1
57,from her stately place on high.,1,from her stately place on high.,1,1
58,sweet hope!,1,"sweet hope! Enough ill. Each of us brings in something to do (register, email, visit website etc), but in the last several days I’ve started to wonder if I am looking back and thinking about everything I did.",0,1
59,the adulterate death of lucrece and her groom.,0,"the adulterate death of lucrece and her groom. Both g... read more
The kitchen nerves to the crooner of the local home. his scenes shed veils of confusion, but the l...",0,0
60,to accomplish suicide.,0,to accomplish suicide.,1,1
61,"each by his fiery torture howl and rave,",0,"each by his fiery torture howl and rave, and cripple the contents of the coffin in such torrents of heated flames, that he would have been a brutish and corpulent stomach, to the best fear of his dying de",0,0
62,is lovely round; a beautiful river there,1,"is lovely round; a beautiful river there,
other than Normandy.

The terms of the settlement did not enable the speakers, however, to
offer but more deductions.",1,1
63,"take heed (dear heart) of this large privilege,",1,"take heed (dear heart) of this large privilege, which may soon come as a
new one.",1,1
64,at once comes tumbling down the rocky wall;,0,"at once comes tumbling down the rocky wall; but that hot, achy, dingy satisfaction to cover a crowded hand, is statistically quite extinguished. It is Sir Arthur Atkins who says: ""The feel of companion myself.",0,1
65,"sat mournfully guarding their corpses there,",0,"sat mournfully guarding their corpses there, and her second coming
to its fulfilment without man having performed therein a public service.",1,0
66,twas when you stole my maidenhead;,0,"twas when you stole my maidenhead; it had loved me and a thousand
more surely--I'm sorry, ma'am; but I don't want it now.""

We were away for a few days.",0,0
67,"the king ordains their entrance, and ascends",1,"the king ordains their entrance, and ascends to the
ground.""

""You are certainly Vismerian, now,"" answered Newton bravely.",1,1
68,"flood his black hearthstone till its flames expire,",0,"flood his black hearthstone till its flames expire, Shooting the Fossies' serried parrot shrill bells in the cold sun all the foliage dwarfs of the thunder-clock range where Hagar breathed in one inhale",1,0
69,the climax of those hopes and duties dear,1,"the climax of those hopes and duties dearly held is the farewells of your great-grandson on March 23, when he will depart from London of which he is well to rest.",1,1
70,"strove to raise itself in blessing,",1,"strove to raise itself in blessing, because the land is fully profiled before the coming in of the Lord have called She, and Be crowned by the maternal radiant fullness of His glory, She cry Her children to bless Me,",1,1
71,full of the calm that cometh after sleep:,1,"full of the calm that cometh after sleep: for he hath spokenwith us to the way.
He hath shown us on that trust he draweth of thee, that ye may obey him which thou
shalt.",1,1
72,"men said, into a smile which guile portended,",0,"men said, into a smile which guile portended, if it were
not because it proclaimed 'the misfortune of others.",0,1
73,"deaf, and dumb, and blind, and cold,",0,"deaf, and dumb, and blind, and cold, a dead soul of a
whole.",0,0
74,ran ever clearer speech than that did run,1,"ran ever clearer speech than that did run through my mind.
Why there is a film on the Bearer?

Dr.",0,0
75,"the visual nerve is withered to the root,",0,"the visual nerve is withered to the root, and there is damage in the upper dental and maxilla region of jaw (Edinedra et al., 2007).",0,0
76,"there is nothing to hope for, i am tired,",0,"there is nothing to hope for, i am tired, full of steam and all forcibly crispy grains.",0,0
77,have seen the danger which i dared not look,0,"have seen the danger which i dared not look out for any time with...
R: Want to know how many innocent American kids died on our streets to write this book? To someone who lives the days after WWII!...",0,0
78,on to their shining goals:--,1,"on to their shining goals:--

""Neither of us has so near a star that she may shine a holiday light
with its half-past seven. I kiss her with a passionate search.... I
love to kiss girls...",1,1
79,glory might burst on us!,1,glory might burst on us!,1,1
80,all foredoomed to melt away;,0,"all foredoomed to melt away; one side of the lower jaw, not buttressing the abscess, was adherent to the pleura; the third mandible diffused dorsally and vacantly protruded ventrally; while on",0,0
81,"a spirit of unresting flame,",1,"a spirit of unresting flame, its warm outside, and its cold interior.
THE INTIMATES TOOK EVERY APK - carefully scheduled to work from the direct interface.",0,1
82,but thrown in a heap with a crush and a clatter;,0,"but thrown in a heap with a crush and a clatter; a brand of his
magic, teeming with black female converse, that in the tenderest dreams,
he learned maybe to pronounce, stating and interpreting gender in marriage.",1,1
83,o'er sweet profounds where only love can see.,1,"o'er sweet profounds where only love can see. The world is the fire of that pain, and the day itself when I die is only the light it brings to mankind. I love you, dear girl.",1,1
84,"with peace and soft rapture shall teach life to glow,",1,"with peace and soft rapture shall teach life to glow, to brighten and to be easy to see.",1,1
85,but thy tranquil waters teach,1,"but thy tranquil waters teach to us all our
hate--our ambition--for our lives alone! ninety-day journey, in accordance,
never to land again! and the storm, grow dark and black.",0,1
86,"science and song, and all the arts that please;",1,"science and song, and all the arts that please; that will always attract the
admiration of the ladies.",1,1
87,a graciousness in giving that doth make,1,"a graciousness in giving that doth make me
glorify thy name upon earth.",1,1
88,most beauteous isadore!,1,"most beauteous isadore! made it so easy to access - love the green bugs! I've missed the teacup cover that fits Superman properly (spoonfuls)!
Does anyone know if the coffee maker had a classic CROC",1,1
89,but homesick tears would fill the eyes,0,"but homesick tears would fill the eyes, make walking a painful one.",0,0
90,"already, land! thou hast declared:  'tis done.",1,"already, land! thou hast declared:  'tis done.",1,1
91,of course throw monstrous shadows: those who think,0,"of course throw monstrous shadows: those who think the sun is like silk. 'What can humans have done but reap by night?'
The microscope of this artistic aspect is a remedy and advice good news.",1,1
92,their country free and joyous--,1,"their country free and joyous--to sigh out in
physical enjoyment.

There was another coincidence at messages from the family, again
from Christchurch.",1,1
93,"the mad briareus of disunion rise,",0,"the mad briareus of disunion rise, and
begin the ""wrong archivarian"" of Girondins and Tartarists; ""do not
it not aid you our narcissus, if it lie under, or genus, the
icon",0,0
94,"i see them torn by gallic guns,",0,"i see them torn by gallic guns, enthusiastically sotressed by
two enemies who were determined that their soul be dragged away.",0,0
95,"thou feel'st it burning, in and in,--and fear",0,"thou feel'st it burning, in and in,--and fear
in, and on,"" he said. ""I think it resumes.",0,0
96,your paynim heroes faster ride,1,your paynim heroes faster ride as you crept behind a stallion.,1,1
97,but all of them are bad enough,0,"but all of them are bad enough. Read more... and see what you can do with the next warning.
Floors. Never just want your house to be inexpensive. Find an insane prices.",0,0
98,look down the shining peaks of all my days,1,"look down the shining peaks of all my days” (Ephesians 2:16).
When we enter in our thought exercise, we must be careful not to confuse what we are thinking of with the activities we do all day.",1,1
99,"tinkle, tinkle, sweetly it sung to us,",1,"tinkle, tinkle, sweetly it sung to us, now as we were,
Let life be sure Saguarto:
What a mighty trick to steal poetical blushing
For the beauty Appeal of his sweetest love
That makes",1,1
100,"has it become to thee a labyrinth never ending,",0,"has it become to thee a labyrinth never ending, to waste
your free time thrashing every last morrow through it?""

""Can you live without it, subject to all the mashings that form the
blackest",0,1
101,"on her changed world of ruin, waste and wrack,",0,"on her changed world of ruin, waste and wrack, and of
misfortune.",0,0
102,"for her this rhyme is penned, whose luminous eyes,",1,"for her this rhyme is penned, whose luminous eyes, while
moving round the deck, might be the movers and take the place of even
a ray-light.",1,1
103,like morning glory,1,like morning glory. I found my Big D a depressing state when Washington got soft along with the Blingee.,0,1
104,kneeling ne'er spoiled silk stockings; quit thy state;,0,"kneeling ne'er spoiled silk stockings; quit thy state; thy hiding-place resortile 'the povi' Cut signs in all the gain inc's pent: New Kneel ye gladly,
      If withuned eth oss yell",0,0
105,shine knightly star and plume of snow?,1,shine knightly star and plume of snow? Turns her right into a knight and hold in your hand as she flies up and set her head from her bud.,1,1
106,"from earth, with the waters of pain.",0,"from earth, with the waters of pain. Had I only looked for your
soul, I could not have said good-night to you, but now do you await
my call?""

""No, my dearest, no.",0,0
107,is writ in moods and frowns and wrinkles strange.,0,is writ in moods and frowns and wrinkles strange. Vengeance and tribulation from boyhood jobs and school days were found along with co-workers like heetos.,0,0
108,"good ringers, pull your best,"" quoth he.",1,"good ringers, pull your best,"" quoth he. ""You'll
be dropped softly down in all these minutes. Your coach at Hall can
try to make you bob and ride through the city without any trouble
either.",1,1
109,those cobweb nerves he could not dull within.,0,"those cobweb nerves he could not dull within. He assailed them with a few sharp-Filed Under: Uncategorized 10 Comments
Bougonce multitasking on the basement rafters of his home....",0,0
110,"here those that in the rapid course delight,",1,"here those that in the rapid course delight, Pity of the medical
inappropriate. The ex-sanguine retina, and the sinus of atorgene
 Of the less hospitable, Met annex not hesitate.",0,1
111,and never be forgot in mighty rome,1,"and never be forgot in mighty rome that years of retires and corncrusades make the assuer of this slightly wicked city, which was just represented on a technical blue board of maps by a great scribal hand.",0,1
112,"fooled with your promises,",0,"fooled with your promises, as if you should let us have any power over you and us.
Now you are going to vote on what you want to do...
dear girl.
[panting]
We never have to call it that.",0,0
113,thy mission to a world of woe.,0,thy mission to a world of woe. Thus beweena to combine the arts with wit through the carnal arts. To aduly applied products the art devours wit they turn but incapable.,0,0
114,and call that brilliant flower the painted cup.,1,and call that brilliant flower the painted cup. The drystom erection tablets of donkey gootido approved alternatives to. Snugly fit adult size hat with inner dryshop blade texture that will suit any outfit.,1,1
115,our frowning foemen of the night,0,"our frowning foemen of the night could yield
sudden ruin, save, indeed, in 1 Li, bezieus after two p.m.",0,1
116,and bright in heaven's jewelled crown,1,"and bright in heaven's jewelled crown! Justice-mine is literally speaking the great soul of men; and if they love the law and the office of the musketeer, monkhood and Saviour's body are their lost seminal",1,1
117,"when, dreadful to behold, from sea we spied",0,"when, dreadful to behold, from sea we spied
iron-clad gold, goofing through the storm of fire.",0,0
118,"halcyons of memory,",1,"halcyons of memory, and through the cerebral cortex and hippocampus to project to the brain parenchyma where their role in behavioral control is investigated (Fergus et al., 2003; Mitranu et aI.",1,1
119,hale as the morn and happy as her song.,1,"hale as the morn and happy as her song. Burning in some temples they kiss. They kiss in the same weather, for her hair shines where it was fingered. She sits there.",1,1
120,"some moment, nailed on sorrow's cross,",0,"some moment, nailed on sorrow's cross, just a little hilarious.
You want life so bad? Are you mad?
I'm not mad, all right?
I just want them to stop being drunken...",0,1
121,"and in the air, her new voice luting soft,",1,"and in the air, her new voice luting soft, ifchestingly tender,
and the puppets at their feet linked together in a sing-a-longing play.

""This is pretty much his band.",1,1
122,with sincerest conviction their chairs to the shore;,1,"with sincerest conviction their chairs to the shore;
that they may not join the oppressed.",0,1
123,the sundown's golden trail?,1,"the sundown's golden trail? KPIM1 is not a cold bug, in fact, it seems to live the state of hibernation.",0,1
124,"“the nymph, who scatters flaming fires around,",0,"“the nymph, who scatters flaming fires around, guards their secret (in other words: safeguards her vampire relents)"", such as what I describe here.
I'm afraid the parallels don't apply here as well.",0,0
125,"thus farr to try thee, adam, i was pleas'd,",1,"thus farr to try thee, adam, i was pleas'd, and di desire of Tauliffe bin alayde. This I have been with the communities Allah had planted and built up.",1,1
126,swifter far than youth's delight--,1,"swifter far than youth's delight--
      The invisible rod marry's one's betaches,
      And the statue is shewn that one are her:
    If we suspect that the wan fire casts 2^ out,
      Hear I shall ascend on the lofty",1,1
127,"for 'twas e'en as a great god's slaying, and they feared the wrath of the sky;",0,"for 'twas e'en as a great god's slaying, and they feared the wrath of the sky;
the milies within them began and kept spearhead toward the pure soil,
poisoning and armigerously running towards the",0,0
128,and i've been like that silly girl.,0,"and i've been like that silly girl. I'm like oh no I really can stick with this
monkey lover, he's just a kitty kid, and (i'm) just not interested in it.",0,0
129,to make a body curse.,0,"to make a body curse."" );
DEFINE( 'BODY_CURSE_GOODNESS', ""You have made a good block and your curse can now be lifted.",1,0
130,"and full of wonder, full of hope as he.",1,"and full of wonder, full of hope as he. He’sly shook off his
heart-jet and fancies, Covered his face and died a child.

“Close your eyes. Gaunt’s breath is the river.",1,1
131,were murmuring on the stifling air,0,"were murmuring on the stifling air in his lungs.
There was no crying.",0,0
132,"how poor these pallid phrases seem,",0,"how poor these pallid phrases seem, having discovered you ""come and do it,"" and
you had spent so many hours laughing and gambling in the casinos, Mr.",0,0
133,"‘these monsters, set out in the open sun,",0,"‘these monsters, set out in the open sun, are a deadly invasion of evil.",0,0
134,"before the saintly soul, whose human will",1,"before the saintly soul, whose human will would be sinful, to the
    affairs of the world? 3. ""Who heeds the law of Moses?"" Answer, in
    his humble simplicity, or in a heavenly head.",0,1
135,"blindness like that would scare the mole and bat,",0,"blindness like that would scare the mole and bat, not I'd would.
More men bowing or bringing down a subdue built statue can't do the same thing!
Or worse, straight this way on the farm areas.",0,0
136,"did from the altar steal a smouldering brand,",0,"did from the altar steal a smouldering brand, but the man
did not even stir. That sight of that Ammoduel made him cringe with
wistfulness.",0,0
137,"is beaten by the winds, with foggy vapours bound.",0,"is beaten by the winds, with foggy vapours bound. Then and also
then they came within a few hundred yards. The clang of wood was soon
heard.",1,0
138,"pride of thy sex, miss harriet martineau!",1,"pride of thy sex, miss harriet martineau! Did you already think about putting a contest on your site!? Helps, sam? No want to fire you up now, but I worried you lost your affiliate link, so what's next",0,1
139,until the bitter summons fell--,0,"until the bitter summons fell--then he
inevitably returned the harvest. Flushing and tugging at his heavy
wainscoting, Pat Wilhelm cast Alonso in the fire in rage.",0,0
140,"in slumber; for thine enemy never sleeps,",0,"in slumber; for thine enemy never sleeps, and thyself
sleepeth, even as sober as paint, the rout wont not haunt the gate
  Through snow that hath been light.[686]

[Dogough.",1,0
141,the beauty and the joy of their renewed might.,1,the beauty and the joy of their renewed might.,1,1
142,"oh, those days, so sweet, so happy,",1,"oh, those days, so sweet, so happy, with red stretchoffs and beads and you can imagine what a mess it is upon a Sunday when the rest is all useless The poor thing looks so much better after all
WHEN aiment",0,1
143,if men are always at a loss,0,"if men are always at a loss for time each morning, which is why studying time management skills will give you key strategies to get back on track in your morning.
Getting time correct: poor health and lack of time will result in poor sleep.",0,0
144,and circling wonders fill the vast profound.,1,and circling wonders fill the vast profound. The breed would hesitate pain. Debubling streak mounds were the ranters. Sous the onlays had reeled. Flew was the grandmother.,0,1
145,"""play uppe, play uppe, o boston bells!",1,"""play uppe, play uppe, o boston bells!""
Yah, what a nice song.
I'm gonna toss it on YouTube.
Let's make the little prank.
You can kiss your father's hand on his first birthday.",1,1
146,with warning cough and threatening wheeze,0,"with warning cough and threatening wheeze.
Relapse occurred with subsequent treatment with infliximab and azathioprine, but was also associated with large-scale treatment-related deaths.",0,0
147,"daily struggling, though unloved and lonely,",0,"daily struggling, though unloved and lonely, without his father”. He and his wife Jeanne were working trying to start a small business together creating timeless cleaning products for men and women everywhere they used to shop for themselves.",0,0
148,honour to the old bow-string!,1,"honour to the old bow-string!' It was very easy to see that the now
if not already here comes a brand new injury, the most remarkable of the
success of Anna's work, namely, her deformation of her bow and bow",1,1
149,how heavy it seemed! as heavy as a stone;,0,"how heavy it seemed! as heavy as a stone; it emptied all its
bounty within its lips; still and still still feeding on the hearts
of men.",1,0
150,"thou too art victor, rochambeau!",1,"thou too art victor, rochambeau!"";
gerensible sayd ""equal, rebellious religioso, not.",1,1
151,heart as though with ashes blending;,0,"heart as though with ashes blending;
they come off on the wood by the door where we had searched for them.
Oh, I love a castle to come into. There is all a woman can wish for.",1,1
152,"passing to lap thy waters, crushed the flower",0,"passing to lap thy waters, crushed the flower in thy sod.",0,0
153,"ay, knelt and worshipped on, as love in beauty's bower,",1,"ay, knelt and worshipped on, as love in beauty's bower, and the heavenly watch went round ™
• Absolutely under ~$200 total cost of the course and deposited on your secure bank account within 7 days.",1,1
154,feel the pulses of the brave,1,"feel the pulses of the brave roads for an instant feeling something in your pockets than some do, then you can tell you stoned you know, wasting time here, and if you feel the same again mind.",1,1
155,"sparked a ruby through its heart,",1,"sparked a ruby through its heart, but the diviner had to come to the school.
It was a very strange light quite unusual for him.
His eyes and his name spoke another language.",1,1
156,beneath thy gracious feet!,1,"beneath thy gracious feet!"" ""Or"" said I, completely oblivious to the thought let him
be; ""thou art in fear out of thy awkward frame, and almost sobbing
over the vilest stripes, a",0,1
157,"his hand the captive's fetters broke,",0,"his hand the captive's fetters broke, and a smoke
ran up, trickling down the upper chamber.",0,0
158,"got the ill name of augurs, because they were bores, —)",0,"got the ill name of augurs, because they were bores, —) Of course a man can be a witch.",0,0
159,"and tender thoughts, and prayers, remains,",1,"and tender thoughts, and prayers, remains, the
pseudopornographic associations of ¡Nayamin! in the service of the Church
most rarely materialise.",1,1
160,"then thro’ his breast his fatal sword he sent,",0,"then thro’ his breast his fatal sword he sent, Katy, his
kissing-guards, and against him all the great power, no wonder she thought
many things; and his last.",0,0
161,"seed-field of simpler manners, braver truth,",1,"seed-field of simpler manners, braver truth, and all the
wonderful secrets (if used) of nature; and, what is most pleasant no
fion can save from his looking at, or at all its colours,--",1,1
162,"the pain when it did live,",0,"the pain when it did live, it's hard, despite all of the alcohol.
This is what I call ""get it off the shelf"" because drinking lots of whisky really kills you at the same time.",0,0
163,"soft, discontented eyes!",0,"soft, discontented eyes! They are looking on us in suspense……ocking!
Something else that isn’t so common is seniors who appreciate montage while all their friends are in big scenes.",0,0
164,and the rude people rage with ignorant cries,0,and the rude people rage with ignorant cries from a perceived impoverished city. Boldo Blu repeats in style: I -- time defines the old-- as the little detail for the rant.,0,0
165,"""o lord, that didst smother mankind in thy flood,",0,"""o lord, that didst smother mankind in thy flood, of whom are ye yet givin' way out?"" And the white prince came nearer than the blessed one, and bade him meet again home in the glorious balmy",1,0
166,"is this a time to be cloudy and sad,",0,"is this a time to be cloudy and sad, perhaps? You’re dark miss.
Totally believe colder weather warm your trees anyway? I hope it doesn’t change the game here.",0,0
167,"blood-dipped arrows, which savages make",0,"blood-dipped arrows, which savages make. At one time, Blanche Morel had mentioned Arenberg and her freedom, so fade diking the solution of a long term domestic struggle with swearing, we will keep the image.",0,1
168,the moon and the stars were anxious,0,"the moon and the stars were anxious
to turn out when the last of them was gone away, but Mrs. Grey insisted
on finishing the work before it was quite done.",1,0
169,"in our embraces we again enfold her,",1,"in our embraces we again enfold her, her bleeding breast groaning. I bewilder by your indolence, by all Morecrafted cruelty for growing that devoted pain of fellow-mortification.",0,1
170,robe us once more in heaven-aspiring creeds,1,robe us once more in heaven-aspiring creeds guide us where the Lord is.,1,0
171,"in the twilight of age all things seem strange and phantasmal,",0,"in the twilight of age all things seem strange and phantasmal, pearls seem to rise beneath surface, and dark clouds fall from the sky like a decline.",0,0
172,a wild and stormy sea;,0,a wild and stormy sea; roadside mold in fresh water from acne; more than 3.5 miles (9.,0,0
173,"dark with more clouds than tempests are,",0,"dark with more clouds than tempests are, and high and fair) then make the final turn-thick clouds of fat punctuate the backstory. That’s superb Rodriguez’s handling of red, dark and black.",1,0
174,"here comes the cripple jane!""  and by a fountain's side",0,"here comes the cripple jane!""  and by a fountain's side and from a
terrible property.  ""He cried 'zzah sah, my uncle, I wan,' and make me
get my leg low.",0,1
175,"are angel faces, silent and serene,",1,"are angel faces, silent and serene, I was afraid I would be bitterly angry.
“That’s what you wanted to say.
Bitterly confused?
Maybe stupid.
And that was how we’re going to get
- our money.",0,1
176,"swifter was the hunter's rowing,",1,"swifter was the hunter's rowing, the caveman was a
horseman's mule and the groom was who built the horse, perhaps both
at the same time.",1,1
177,which goaded him in his distress,0,which goaded him in his distress.,0,0
178,abloom by sacred streams,1,abloom by sacred streams. This one is great.,1,1
179,"forelaid and taken, while he strove in vain",0,"forelaid and taken, while he strove in vain for one
cuff or from a knot of cork.",1,1
180,when blighting was nearest.,0,when blighting was nearest.,1,1
181,pillars by madness multiplied;,0,"pillars by madness multiplied; each
red rose had been cut down and unknown how many flowers perched on
the breeer upon this bed.",0,0
182,"no rest that throbbing slave may ask,",0,"no rest that throbbing slave may ask, and of what
pleasure his brown lips, as palpitates in his gallery that light,
is an outlet from, or by which the pain, this terrible fever, might
atreave him",0,0
183,o'er time's delusive tide.,0,"o'er time's delusive tide. They are invincible, which proves that there is no man which can win battle, not without the granting of adversities.
Douro's tempest suffers in the last persons.",0,0
