,verse_text,label,result,sentiment_score
26,"when thee, the eyes of that harsh long ago",0,"when thee, the eyes of that harsh long ago, shall
be opened, and thy heart shall be filled with the love of thy
children.""

""It is not so,"" said the young man, with a smile.",1
27,"the foes inclosing, and his friend pursued,",0,"the foes inclosing, and his friend pursued, the
prisoner, who was a man of the tribe of Judah, a tribe which had
been in the possession of Israel for a long time.",1
28,"take the warm welcome of new friends with thee,",1,"take the warm welcome of new friends with thee, and the
warm welcome with which thou art welcome to me.""

""How can I be welcome?"" said the young man, with a smile.",1
29,"augmented, sweet, a hundred fold",1,"augmented, sweet, a hundred fold, and
the whole body was filled with a delicious, delicious smell. The
wonderful smell of the sweetest, most delicious things, the
delicious, exquisite, beautiful things.",1
30,and bow to dread inquisitor and worship lords of dust;,0,"and bow to dread inquisitor and worship lords of dust;
and, if he be not, let him be.""

""So,"" said the Lord, ""let him go.",1
31,"miles off, three dangerous miles, is home;",0,"miles off, three dangerous miles, is home; and the
sight of the two men who have been shot, and of their bodies, makes
the whole scene a scene of terror.",0
32,every day a rich reward will give;,1,"every day a rich reward will give; and the Lord will
be with you, and you will be with him.",1
33,"else, suffer’d, it will set the heart on fire,",0,"else, suffer’d, it will set the heart on fire, and the soul on a fire.”
“And the fire will be like a furnace,” said the Lord, “and the furnace will burn
the whole earth.",1
34,gay little heart!,1,"gay little heart!”
“You’re not the only one.” She looked at him, her eyes wide and her lips
faint. “You’ve got to be a man.",0
35,"among the sources of thy glorious streams,",1,"among the sources of thy glorious streams, and the
waters of the sea, which are the source of all thy glory.""

""Then,"" said the prophet, ""let us go and see the waters of
the sea.",1
36,"what gods, what madness, hither steer’d your course?",0,"what gods, what madness, hither steer’d your course?”

“Not so,” said the man, “for I have no doubt that the Lord hath
given me the power to do what I please.",1
37,it spoils me for the smiling of the rest’—,1,"it spoils me for the smiling of the rest’—a
sadly familiar phrase, and one which, in the midst of a storm of
disappointment, is still more so.",0
38,that wisdom's lips seemed borrowing friendship's heart.,1,"that wisdom's lips seemed borrowing friendship's heart.""

""It is true,"" said the girl, ""that I have been a little too
disappointed.",0
39,when the glance hast lost its beam;,0,"when the glance hast lost its beam; and the
sight of the sun was lost in the distance, and in a moment the whole
world was in darkness.",0
40,"best gems of nature's cabinet,",1,"best gems of nature's cabinet, the
sculptures of the great sculptor, and the beautifully carved
ornaments of his tomb, are all in the possession of our
archæologists. The tomb of St.",1
41,"in the shadow of the shores; as dead leaves wake,",0,,0
42,the blessed memory of thy worth,1,"the blessed memory of thy worth, and thy
sweetness, thy love, the love of the Lord thy God, which thou
wilt bestow on thy children, that they may be like unto thee.",1
43,a million torches lighted by thy hand,1,"a million torches lighted by thy hand, and thy sword, thy shield, thou art
the Lord thy God.",1
44,thy sleep makes ridiculous.,0,thy sleep makes ridiculous. I have a lot of sleep problems. My sleep is not good. It is very hard to sleep. The only thing that I can do is to eat a little bit of fruit and vegetables.,0
45,whose potent unity and concentric force,1,"whose potent unity and concentric force is the
power of the whole. The whole is a unity, and the unity is
concentrated in the centre.",1
46,"mine eyes were of their madness half beguiled,",0,"mine eyes were of their madness half beguiled, half
disgusted. The girl was not a very good girl, but she was a good
girl, and she had a great deal of good qualities.",0
47,you sha' n't roll yo' eyes at me.,0,you sha' n't roll yo' eyes at me.,0
48,"mine are calm and tranquil days,",1,"mine are calm and tranquil days, and the sun is shining in the sky. The sun shines in a bright and warm way, so that the people in this place can enjoy the beauty of the day.",1
49,"from flight, seditious angel, to receave",0,"from flight, seditious angel, to receave the
sword, and to be the instrument of the devil.""

""It is not so,"" said the man, ""that I should not be able to do it.",0
50,"thy merited reward, the first assay",1,"thy merited reward, the first assay of the effect of a single dose of L-arginine on the activity of adenylyl cyclase in the rat brain.",1
51,"uttering bare truth, even so as foes commend.",1,"uttering bare truth, even so as foes commend. The
following is a brief account of the proceedings of a meeting of
the Society of Friends, held at the house of Mr. John H.",1
52,"afar the melancholy thunder moaned,",0,"afar the melancholy thunder moaned, and the
wind whistled in the wind-shifted direction.",1
53,"their hate, and selfishness, and pride!",0,,0
54,"and sorrowful to-day, thy children set",0,"and sorrowful to-day, thy children set
forth their arms to thee, and to thy mother, to the Lord thy God,
and to all thy brothers and sisters, in the name of the Father and
the Son and the Holy Spirit.",0
55,save for a cry that echoes shrill,0,"save for a cry that echoes shrill in the distance. The sound of the wind is still there, but it is not as strong as it once was. It is a little more like a wind that has been blown away by the storm.",0
56,"with its close-curling gold, and love revived.",1,"with its close-curling gold, and love revived. The
following day, the Queen, with her husband, was to visit the
abbey, where she was received with the greatest cordiality.",1
57,from her stately place on high.,1,"from her stately place on high. She was a
beautiful woman, and a very beautiful woman.",1
58,sweet hope!,1,"sweet hope!”
The first thing I did was to get the book out of the box and read it. I was so excited to read this book. It was a great read and I loved the characters.",1
59,the adulterate death of lucrece and her groom.,0,"the adulterate death of lucrece and her groom. The
following day, the king and queen, with the rest of the court, were
present at the funeral of Lucrece, and the queen was carried to the
grave.",1
60,to accomplish suicide.,0,"to accomplish suicide. The first step is to identify the person who is responsible for the death. If the victim is a relative, the relative should be identified. In the case of a stranger, a person should also be named.",1
61,"each by his fiery torture howl and rave,",0,,0
62,is lovely round; a beautiful river there,1,"is lovely round; a beautiful river there, and a lovely lake. The lake is a little too small for the boat, but the river is quite large.",1
63,"take heed (dear heart) of this large privilege,",1,"take heed (dear heart) of this large privilege, and
take care that you do not lose it.",1
64,at once comes tumbling down the rocky wall;,0,"at once comes tumbling down the rocky wall; and the
wonderful, the most wonderful thing in the world, is that the whole
world is in a state of peace and quiet. The whole world is
peaceful.",1
65,"sat mournfully guarding their corpses there,",0,,0
66,twas when you stole my maidenhead;,0,"twas when you stole my maidenhead; and I was
sure that you would not have done it.""

""It was not so,"" said the girl, with a smile.",0
67,"the king ordains their entrance, and ascends",1,"the king ordains their entrance, and ascends to the throne. The
king is a man of great strength, but he is not a great man.",1
68,"flood his black hearthstone till its flames expire,",0,"flood his black hearthstone till its flames expire, and
then he will be able to see the light of the fire in the midst of
the darkness.",1
69,the climax of those hopes and duties dear,1,"the climax of those hopes and duties dear to the
heart of the man who has been the chief of his family.",1
70,"strove to raise itself in blessing,",1,"strove to raise itself in blessing, and to
be a blessing-worthy person.""

""So,"" said the young man, ""what do you think of that?"" he asked.",1
71,full of the calm that cometh after sleep:,1,,0
72,"men said, into a smile which guile portended,",0,"men said, into a smile which guile portended, that
he had not been so much as a little surprised by the appearance of
the young man.",1
73,"deaf, and dumb, and blind, and cold,",0,"deaf, and dumb, and blind, and cold, but
he was not a man to be afraid of.",0
74,ran ever clearer speech than that did run,1,"ran ever clearer speech than that did run through his mind. He was
not a man to be afraid of the world, and he was not a person to
be afraid to speak.",0
75,"the visual nerve is withered to the root,",0,"the visual nerve is withered to the root, and the nerve then becomes a branch of the spinal cord. The spinal nerve, which is the main nerve in the brain, is a very important part of our nervous system.",1
76,"there is nothing to hope for, i am tired,",0,"there is nothing to hope for, i am tired, and i want to go to bed. i have been thinking about this for a while, but i just can't seem to get it to work.",0
77,have seen the danger which i dared not look,0,"have seen the danger which i dared not look at. I was so afraid of the
danger, that I had not even thought of it. But now I am afraid, and
I am not afraid.",0
78,on to their shining goals:--,1,"on to their shining goals:--

""It is not the first time that I have been to the field, and I am
not the only one who has been.",1
79,glory might burst on us!,1,"glory might burst on us!""

""It is not so,"" said the old man, with a smile. ""But I am not
sure that I can do it.",1
80,all foredoomed to melt away;,0,"all foredoomed to melt away; the
snow was falling, and the wind was blowing in the direction of the west,
and the clouds were falling in a sort of rainbow.",1
81,"a spirit of unresting flame,",1,"a spirit of unresting flame, and
the whole world was in a state of confusion and confusion. The
people were in the midst of a great riot, which was so great that
every one was afraid to go out.",0
82,but thrown in a heap with a crush and a clatter;,0,"but thrown in a heap with a crush and a clatter;
and the whole thing was so much more than a mere heap of stones.",1
83,o'er sweet profounds where only love can see.,1,"o'er sweet profounds where only love can see.”
“It’s a beautiful day,” said the man, who was standing in the middle of the field. “It is a day of love. I love you.",1
84,"with peace and soft rapture shall teach life to glow,",1,"with peace and soft rapture shall teach life to glow, and to be
glorious.""

""It is not so,"" said the young man, with a smile.",1
85,but thy tranquil waters teach,1,"but thy tranquil waters teach thee to be wise.""
""It is not wise to teach,"" said the man, ""but to know.",1
86,"science and song, and all the arts that please;",1,"science and song, and all the arts that please; and
the most beautiful and most interesting of all, the most
interesting of the human beings, who are the best of men, are
called the _men of genius_.",1
87,a graciousness in giving that doth make,1,"a graciousness in giving that doth make the
sight of the Lord, and the sight of God in the eyes of men.",1
88,most beauteous isadore!,1,"most beauteous isadore!""

""It is a very beautiful thing,"" said the girl, with a smile. ""I
have never seen anything so beautiful.",1
89,but homesick tears would fill the eyes,0,"but homesick tears would fill the eyes of the young man. He
was a man of great strength, and he was a brave man, but he had
never been a soldier.",1
90,"already, land! thou hast declared:  'tis done.",1,"already, land! thou hast declared:  'tis done.'  And he
went to the door, and said, 'Let us go, for we are not yet in the
house.",1
91,of course throw monstrous shadows: those who think,0,"of course throw monstrous shadows: those who think that the
world is a mere place of darkness, and that there is no light, are
far from right.",0
92,their country free and joyous--,1,"their country free and joyous--to the
people of the world, and to the people of England, who have
been so much affected by the great and glorious events of our
reign.",1
93,"the mad briareus of disunion rise,",0,"the mad briareus of disunion rise, and the
sweetest of the flowers of love, the most beautiful of all the roses,
the most sweet of them all, are all gone.",0
94,"i see them torn by gallic guns,",0,"i see them torn by gallic guns, and
their bodies torn to pieces by the bullets of the enemy. The
soldiers were all dead, but the wounded were not.",0
95,"thou feel'st it burning, in and in,--and fear",0,"thou feel'st it burning, in and in,--and fearing
it, and fearful of it,--you are not to be afraid of the fire, for
you have not been burned.",0
96,your paynim heroes faster ride,1,"your paynim heroes faster ride on the road to the throne of the gods.”
“You are a good man,” said the king, “but you are not a man. You are the son of a woman.",1
97,but all of them are bad enough,0,"but all of them are bad enough to make you feel bad about yourself. But if you are a person who is not afraid to be bad, then you can be a good person.”
“You are not alone.",0
98,look down the shining peaks of all my days,1,"look down the shining peaks of all my days, and I will
be glad to see you again.""

""How do you know?"" said the girl, with a smile.",1
99,"tinkle, tinkle, sweetly it sung to us,",1,"tinkle, tinkle, sweetly it sung to us, and we were all
sweetly delighted.""

""It was a very pretty song,"" said the little girl, with a smile.",1
100,"has it become to thee a labyrinth never ending,",0,,0
101,"on her changed world of ruin, waste and wrack,",0,"on her changed world of ruin, waste and wrack, and the
wonderful beauty of the country.",0
102,"for her this rhyme is penned, whose luminous eyes,",1,,0
103,like morning glory,1,"like morning glory, and the
glory of the sun, the glory of thy name, thy glory.""

""Then,"" said the man, ""why, I should like to see thee.",1
104,kneeling ne'er spoiled silk stockings; quit thy state;,0,"kneeling ne'er spoiled silk stockings; quit thy state;
let thy heart be free, and let thy soul be happy.'

'And now,' said the old man, 'let us go to the church.",1
105,shine knightly star and plume of snow?,1,"shine knightly star and plume of snow?”
“Yes,” said the girl, “and I have a great deal to tell you.",1
106,"from earth, with the waters of pain.",0,"from earth, with the waters of pain.""
""So,"" said the man, ""what do you think of that?""

""It is a very good thing, sir. I have been thinking of it.",1
107,is writ in moods and frowns and wrinkles strange.,0,"is writ in moods and frowns and wrinkles strange. The
faintest of the two, the one who was the most beautiful, was
disappointed. She was not the only one.",0
108,"good ringers, pull your best,"" quoth he.",1,"good ringers, pull your best,"" quoth he. ""But I
don't think you can do it.""

""Why not?"" said the girl, with a smile. ""I don't know. I don't think
you can.",1
109,those cobweb nerves he could not dull within.,0,"those cobweb nerves he could not dull within. He was
not a man to be afraid of the dark, and he was not a person to
be afraid to die.",0
110,"here those that in the rapid course delight,",1,"here those that in the rapid course delight, and those who
are not, are not so much as the same. The first are the most
uncomfortable, the second the least.",0
111,and never be forgot in mighty rome,1,"and never be forgot in mighty rome.”
“And the rest of the world,” said the Emperor, “will be glad to see you
again. I will not be able to do so.",1
112,"fooled with your promises,",0,"fooled with your promises, and you are not the one who has to take the blame.”
“You are the only one that can do it. You are my only choice. I am not going to let you go.",1
113,thy mission to a world of woe.,0,"thy mission to a world of woe. The
wonderful thing is that the world is not so woe; it is a place of
peace, and the people are not in danger.",1
114,and call that brilliant flower the painted cup.,1,"and call that brilliant flower the painted cup.”
“It’s a beautiful flower,” said the girl, “and I think you’ll like it. I don’t know what to do with it, but I will.",1
115,our frowning foemen of the night,0,,0
116,and bright in heaven's jewelled crown,1,"and bright in heaven's jewelled crown.""

""So,"" said the young man, ""what do you think of the new moon?""
""It looks like a pretty moon, and I think it will be a good one.",1
117,"when, dreadful to behold, from sea we spied",0,,0
118,"halcyons of memory,",1,"halcyons of memory, and the fact that the memory of the past is not necessarily the same as the future. The memory is a process that is based on the experience of a past event.",1
119,hale as the morn and happy as her song.,1,hale as the morn and happy as her song. She is a very happy girl. I love her.,1
120,"some moment, nailed on sorrow's cross,",0,"some moment, nailed on sorrow's cross, and
the tears fell on his face.""

""It was a very good thing,"" said the doctor, ""that you had not been
in the house.",0
121,"and in the air, her new voice luting soft,",1,"and in the air, her new voice luting soft, “You’re not the only one.”
“You are,” she said, and she looked at him, a little confused. “And I know you are.",1
122,with sincerest conviction their chairs to the shore;,1,"with sincerest conviction their chairs to the shore; and
they were all in the same boat, and the captain was the only one
who was not in it.",1
123,the sundown's golden trail?,1,"the sundown's golden trail?""

""It is,"" said the girl, with a smile. ""But I must go.",1
124,"“the nymph, who scatters flaming fires around,",0,"“the nymph, who scatters flaming fires around, and the nuptial fire, which burns the earth.”
The nude natives of the Northwest were the first to be introduced to the Western Hemisphere.",1
125,"thus farr to try thee, adam, i was pleas'd,",1,,0
126,swifter far than youth's delight--,1,"swifter far than youth's delight--but
the young man was not so much a man as a woman. He was a very
different man from the rest of the world. His eyes were very bright,
and his voice was very sweet.",1
127,"for 'twas e'en as a great god's slaying, and they feared the wrath of the sky;",0,"for 'twas e'en as a great god's slaying, and they feared the wrath of the sky; and
they feared not the Lord, but the God of their fathers.",0
128,and i've been like that silly girl.,0,"and i've been like that silly girl. i was like, ""i'm not gonna do this."" i just don't want to do it. and i don't know why. but i do. so i did it and it was great.",0
129,to make a body curse.,0,"to make a body curse.”
“You’re not a curse,” said the man. “You are a man who has a right to curse and to make things worse. You’re a human being. And you have a choice.",1
130,"and full of wonder, full of hope as he.",1,"and full of wonder, full of hope as he. He was
not a man to be afraid of anything, and he was not afraid to go out
to the world.",1
131,were murmuring on the stifling air,0,"were murmuring on the stifling air. The
wonderful, the beautiful, and the wonderful, were all in the air, but
the most beautiful was the one that was in my heart.",1
132,"how poor these pallid phrases seem,",0,"how poor these pallid phrases seem, and the
impossibility of any explanation of their meaning.",0
133,"‘these monsters, set out in the open sun,",0,"‘these monsters, set out in the open sun, are the only ones who can save the world.”
“It’s a good thing you’ve come to the rescue,” said the man. “It wasn’t a bad thing.",1
134,"before the saintly soul, whose human will",1,"before the saintly soul, whose human will is
the only true and perfect law, and whose power is the only law of
life.",1
135,"blindness like that would scare the mole and bat,",0,"blindness like that would scare the mole and bat, but it wouldn’t. The mole would be able to see the bat and the bats would see them. They would have to be very careful not to get caught.",0
136,"did from the altar steal a smouldering brand,",0,,0
137,"is beaten by the winds, with foggy vapours bound.",0,"is beaten by the winds, with foggy vapours bound. The
winds are not so strong as they ought to be, and the wind is not
so strong that it can be heard.",0
138,"pride of thy sex, miss harriet martineau!",1,"pride of thy sex, miss harriet martineau!""

""It is not so,"" said the girl, with a smile. ""I am not a woman, and
I am a man.",1
139,until the bitter summons fell--,0,"until the bitter summons fell--

""It is not the first time I have heard of it,"" said the old man, with
a smile. ""I have been in the same position before.",0
140,"in slumber; for thine enemy never sleeps,",0,"in slumber; for thine enemy never sleeps, but thou art
the one who sleepeth.",1
141,the beauty and the joy of their renewed might.,1,the beauty and the joy of their renewed might.,1
142,"oh, those days, so sweet, so happy,",1,"oh, those days, so sweet, so happy, and so much more. I love you, my sweetheart.
I love your sweet words. You are my best friend. And I am so glad you are here.",1
143,if men are always at a loss,0,"if men are always at a loss to find a way to make their lives better, they’re not alone.",0
144,and circling wonders fill the vast profound.,1,"and circling wonders fill the vast profound. The most important of these are the
fantastic and the most beautiful. They are all the same, and all
the same beautiful, but they are not the only ones.",1
145,"""play uppe, play uppe, o boston bells!",1,"""play uppe, play uppe, o boston bells!""
""Play upp,"" said the boy, ""play-upp.""

""That's a good one, sir, and I like it.",1
146,with warning cough and threatening wheeze,0,with warning cough and threatening wheeze. The patient was transferred to the intensive care unit (ICU) and was intubated.,0
147,"daily struggling, though unloved and lonely,",0,"daily struggling, though unloved and lonely, and the
unloving and unkindness of the world.",0
148,honour to the old bow-string!,1,"honour to the old bow-string!""

""It is a very good bow,"" said the young man, with a smile. ""I have
never heard of it before.",1
149,how heavy it seemed! as heavy as a stone;,0,"how heavy it seemed! as heavy as a stone; and the
sight of the great, the mighty, and all the things that were in the sky
was like a great thunder-storm.",1
150,"thou too art victor, rochambeau!",1,"thou too art victor, rochambeau!""

""So,"" said the old man, ""we shall have a good time."" And he went
away, and the rest of the party followed him.",1
151,heart as though with ashes blending;,0,"heart as though with ashes blending; and the
sweetness of the breath, the sweetness that is the only sweet thing in
the world, was so sweet that it was like a breath of life.",1
152,"passing to lap thy waters, crushed the flower",0,"passing to lap thy waters, crushed the flower of thy
heart, and made thy soul a stone.""

""So,"" said the man, ""it is true, that the Lord has made thee a
stone.",1
153,"ay, knelt and worshipped on, as love in beauty's bower,",1,"ay, knelt and worshipped on, as love in beauty's bower, and
then, with a smile, he said, ""Let us all be thankful for the blessings
of the Lord.",1
154,feel the pulses of the brave,1,"feel the pulses of the brave men who fought in the trenches of
the French Revolution. The first of these was the battle of Waterloo,
in which the French army was defeated by the British army.",1
155,"sparked a ruby through its heart,",1,"sparked a ruby through its heart, and the
spark was not extinguished. The spark was still there, but it was
not the spark of the heart.",1
156,beneath thy gracious feet!,1,"beneath thy gracious feet!""

""It is not so,"" said the young man, with a smile.",1
157,"his hand the captive's fetters broke,",0,"his hand the captive's fetters broke, and the
slave was taken to the slave-holder's house, where he was
disposed to be burned alive.",0
158,"got the ill name of augurs, because they were bores, —)",0,,0
159,"and tender thoughts, and prayers, remains,",1,"and tender thoughts, and prayers, remains, but the
spirit of the Lord is still in the hearts of those who have been
persecuted.",1
160,"then thro’ his breast his fatal sword he sent,",0,"then thro’ his breast his fatal sword he sent, and
the blood of the man fell on the ground. The man was a man of
strength, but he was not strong enough to fight.",0
161,"seed-field of simpler manners, braver truth,",1,"seed-field of simpler manners, braver truth, and more
than a thousand other things.""

""So you are a man of the world,"" said the girl, with a smile.",1
162,"the pain when it did live,",0,"the pain when it did live, and the pain that it died.”
“It was a very good thing that I was able to get away from the house,” he said. “It’s a good place to be.",1
163,"soft, discontented eyes!",0,"soft, discontented eyes!""

""It is not so,"" said the old man, with a smile. ""But I am not
sure that you will be able to get the money.",0
164,and the rude people rage with ignorant cries,0,"and the rude people rage with ignorant cries of
""Why, you are a brute!""

""It is not so,"" said the old man, with a smile. ""But I am not
ignorant.",0
165,"""o lord, that didst smother mankind in thy flood,",0,"""o lord, that didst smother mankind in thy flood, and
shall not be able to save thee.",0
166,"is this a time to be cloudy and sad,",0,"is this a time to be cloudy and sad, or to have a good time with friends? Or maybe you just want to relax and enjoy the sun? Whatever your reasons, we have some great ideas for you to try.",1
167,"blood-dipped arrows, which savages make",0,,0
168,the moon and the stars were anxious,0,"the moon and the stars were anxious to see him. The
moon was not so bright as it had been in the morning, and it was
not so clear as in a previous day.",0
169,"in our embraces we again enfold her,",1,"in our embraces we again enfold her, and we kiss her.”
“And now,” said the young man, “you are to kiss me. I will kiss you. And I
will kiss your mother.",1
170,robe us once more in heaven-aspiring creeds,1,"robe us once more in heaven-aspiring creeds, and
aspirations, that are not only the fruits of the Spirit, but the
fruit of God.",1
171,"in the twilight of age all things seem strange and phantasmal,",0,"in the twilight of age all things seem strange and phantasmal, and the
wonderful thing is that the world is not so strange. The world
is not as strange as it seems.",0
172,a wild and stormy sea;,0,"a wild and stormy sea; and the
sight of the sea, the sound of its waves, and its sound, were
unmistakable. The sea was a great, great sea.",1
173,"dark with more clouds than tempests are,",0,"dark with more clouds than tempests are, and the
weather is very hot.",0
174,"here comes the cripple jane!""  and by a fountain's side",0,,0
175,"are angel faces, silent and serene,",1,"are angel faces, silent and serene, and the
beautiful, the beautiful, as if they were the only ones who could
see them. The sun was shining, but the moon was still.",1
176,"swifter was the hunter's rowing,",1,"swifter was the hunter's rowing, and the
sword was his weapon. The hunter was a man of great strength, but
he was not a very good swimmer.",1
177,which goaded him in his distress,0,"which goaded him in his distress. He was
not a man to be afraid of the world, and he was not a person to
be afraid to die.",0
178,abloom by sacred streams,1,"abloom by sacred streams, and the
sight of the great river, the river of life, was a sight to be
reproduced in every one of us.",1
179,"forelaid and taken, while he strove in vain",0,"forelaid and taken, while he strove in vain to
recover his senses. The doctor, who had been in the room, was
disappointed, and he was obliged to leave the place.",0
180,when blighting was nearest.,0,"when blighting was nearest. The
winter was a very cold one, and the wind was very strong. It was
not until the morning that the sun was shining, that we were able to
see the lake.",1
181,pillars by madness multiplied;,0,"pillars by madness multiplied; and the
sight of the great, the most powerful, and most beautiful thing in the world,
was a great joy to the eye.",1
182,"no rest that throbbing slave may ask,",0,"no rest that throbbing slave may ask, and that he may
be free.""

""So,"" said the slave, ""it is not so much the same as to be free, but
it may be.",1
183,o'er time's delusive tide.,0,"o'er time's delusive tide. The
following day, the wind was blowing in the direction of the
south-east, and the sea was rising.",1
184,no word for a while spake regin; but he hung his head adown,0,"no word for a while spake regin; but he hung his head adown
the wall, and looked at the clock, which was still ringing.",1
185,"envy and calumny and hate and pain,",0,"envy and calumny and hate and pain, and
the most horrible and most cruel of all the evil that is in the world.",0
186,and murmured a strange and solemn air;,0,"and murmured a strange and solemn air; and
then he turned to the door, and, turning it, he saw that it was
opened, but not by a man.",1
187,taught by the sorrows that his age had known,0,"taught by the sorrows that his age had known, and the
sadness that he had felt, he was now in the midst of a new and
unexpected experience.",0
188,"the china dustless, the keen knife-blades bright,",1,"the china dustless, the keen knife-blades bright, and the
sweet, sweet, soft, melancholy voice of the old man.",1
189,an honest tongue may drop a harmless hint.,1,"an honest tongue may drop a harmless hint.”
“You’re right,” said the man, “but I don’t think you’ll be able to tell me what the hell you mean. I can’t tell you.",0
190,playmates' glad symphony.,1,"playmates' glad symphony. The first part of the symphonic
performance was a very beautiful one, and the second part was very
beautiful.",1
191,"her lion-port, her awe-commanding face,",1,,0
192,"--so they feast in the hall of atli, and that eve is the first of the seven.",1,"--so they feast in the hall of atli, and that eve is the first of the seven.",1
193,"let sophists give the lie, hearts droop, and courtiers play the worm,",0,"let sophists give the lie, hearts droop, and courtiers play the worm, but the truth is that the world is not so bad as you think.",0
194,"swifter far than happy night,",1,"swifter far than happy night, and the
wonderful thing is that he has not yet come to the end of his
experience.",1
195,"by a great master of the past,",1,"by a great master of the past, the
poet, who, in his own way, was a man of genius, and who had
discovered the secret of his genius in the work of a genius.",1
196,and to the tender heart and brave,1,"and to the tender heart and brave soul of the
young man. The young man was a man of great courage, and he was
not afraid of anything.",1
197,"with the earls of the goths about her: so queenly did she seem,",1,"with the earls of the goths about her: so queenly did she seem, and so
unworthy of her title. She was a queen, but she was not a Queen.",0
198,"the fraud of priests, the wrong of law,",0,"the fraud of priests, the wrong of law, and the
disgrace of the world.",0
199,around thy place of slumber glowing!,1,"around thy place of slumber glowing!""

""It is not so,"" said the old man, with a smile. ""I have been
told that the Lord has sent me to this place.",1
200,obliterate the etchings,0,"obliterate the etchings, and then add the remaining paint to the bottom of the bowl.",1
201,and leaves the world to darkness and to me.,0,"and leaves the world to darkness and to me.”
“You’re right,” said the man. “It’s not a good thing to be a man, but it’s a bad thing not to have a wife.",0
202,"he bent and kissed her head, warm, shining, soft,",1,"he bent and kissed her head, warm, shining, soft, and
lovely. She was a beautiful, beautiful girl, with a very beautiful face,
and a pretty, pretty face.",1
203,"that satraps would have shivered at his frown,",0,"that satraps would have shivered at his frown, and
would have laughed at the thought of his being so much more than a
sacrifice. But he was not so.",0
204,"harsh, featureless, and rude, barrenly perish:",0,,0
